fas4,lifesat,wemwbs,sebdtot,physact60,schoolid_anonymous,genid_sab6,meanpsychcomplfreq,dailyfruitveg,pastmonthcann,drink2bin,weeklysmoker,vigpaguidance,age1,ethnic2,bullyvictim
7,7,30,17,5,78,2,4.25,0,0,1,0,0,14,0,0
9,5,22,17,1,78,2,3.5,1,1,1,1,0,14,0,NA
11,9,31,1,7,207,1,1,1,0,0,0,1,12,0,0
12,9,16,2,5,207,2,1.25,1,0,0,0,1,13,0,0
8,6,28,20,5,78,2,4,0,0,1,0,0,14,0,1
9,9,29,20,3,78,1,1.75,0,0,0,0,0,14,0,0
9,5,16,17,3,78,2,4.5,0,1,1,1,0,14,0,0
8,8,27,1,5,207,1,1,0,0,0,0,1,12,0,0
10,5,18,21,5,207,1,4.5,0,0,1,0,0,12,0,0
9,6,26,14,2,207,1,1.5,0,0,0,0,1,12,0,0
10,8,20,10,4,207,1,2.5,0,0,0,0,1,12,0,0
8,7,23,16,3,78,2,4.5,0,NA,1,NA,0,15,0,0
12,10,29,1,4,207,1,1.25,0,0,0,0,1,13,0,0
11,5,25,9,NA,78,1,1,0,0,0,0,0,14,1,0
13,7,28,NA,7,207,1,NA,NA,0,0,0,1,12,0,0
11,9,NA,NA,7,207,1,NA,1,0,0,0,1,12,0,NA
8,6,21,24,4,78,2,3,0,0,0,0,1,14,0,0
10,8,16,24,3,133,6,3.75,0,0,0,0,0,13,0,1
12,7,28,15,3,133,1,3.75,0,0,0,0,1,13,0,0
9,4,19,20,2,133,2,4.25,0,0,0,0,0,13,0,1
10,10,24,7,2,133,2,2,1,0,0,0,0,14,0,0
11,7,31,9,6,133,1,1,0,0,0,0,1,14,0,0
7,6,24,20,6,133,1,2.75,0,0,0,0,1,14,0,0
10,10,27,9,7,133,1,2.25,0,0,0,0,1,13,0,0
8,7,26,20,3,133,1,3,0,0,0,0,0,13,0,1
NA,8,NA,NA,3,133,1,NA,1,0,0,0,0,14,0,NA
8,10,33,6,4,133,1,1.25,0,0,0,0,1,13,0,0
8,8,23,13,1,133,1,2,1,0,0,0,1,13,0,0
10,10,30,9,5,133,2,1.5,0,0,0,0,0,13,0,0
12,9,25,7,NA,133,2,2.25,0,0,0,0,NA,13,0,0
13,8,29,19,5,133,2,3.5,0,0,0,0,1,14,0,0
10,7,7,22,7,133,1,5,0,0,0,0,1,14,1,0
7,7,30,11,5,133,1,1.75,0,0,1,0,1,13,0,0
7,5,23,18,5,133,2,3.25,0,0,1,0,0,13,0,0
9,5,21,15,3,133,1,3,0,0,0,0,0,14,0,0
9,6,25,9,2,133,1,2,1,0,0,0,0,13,0,0
12,9,25,9,3,133,1,3,1,0,0,0,0,13,0,0
10,7,24,17,6,133,2,3.75,1,0,0,0,1,14,1,1
6,7,23,13,7,133,1,3.25,0,0,0,0,1,13,0,0
10,7,24,2,4,133,1,1.75,0,0,0,0,0,14,0,0
6,7,17,21,2,133,2,4.5,0,0,0,NA,0,13,0,1
9,9,26,9,5,133,2,1.5,1,0,0,0,0,13,0,1
10,9,24,4,6,133,2,1.25,0,0,0,0,1,14,0,0
8,8,7,NA,7,133,1,3,0,NA,NA,NA,NA,14,0,NA
13,10,23,11,5,133,1,1.75,0,0,0,0,1,14,0,0
NA,4,NA,NA,4,156,1,NA,0,0,0,0,1,NA,NA,0
10,8,29,12,4,156,1,3,0,0,0,0,1,12,0,1
8,9,20,27,NA,156,2,3.75,0,0,0,0,0,13,0,NA
8,8,NA,3,4,156,1,2.75,0,0,0,0,1,13,0,1
6,7,28,14,1,156,2,2.5,0,0,0,0,0,13,0,1
10,8,25,4,5,156,2,1.5,0,0,0,0,1,13,0,0
11,9,26,6,5,156,2,1.5,0,0,0,0,1,12,0,0
6,9,31,3,6,156,1,1.5,0,0,0,0,1,12,0,0
9,7,16,22,5,156,1,3.75,0,0,0,0,1,13,0,1
NA,6,14,20,3,156,2,3.75,0,0,0,0,0,12,0,1
11,6,21,18,1,156,1,4,0,0,1,0,0,12,0,1
8,6,18,NA,7,156,1,3.25,0,0,0,0,1,12,0,1
8,8,25,22,2,156,1,3,0,0,0,0,0,13,0,0
7,8,19,NA,2,156,1,1.75,0,0,0,0,0,12,0,1
10,7,23,13,4,133,1,2,0,0,0,0,1,13,0,0
8,7,23,7,3,156,1,2.25,0,0,0,0,0,13,0,0
11,8,26,14,4,156,1,2.75,0,0,0,0,1,12,0,1
9,8,26,11,4,156,1,1.25,0,0,0,0,1,12,0,0
11,6,23,25,4,133,2,4.25,0,0,0,0,1,13,0,1
11,10,21,16,7,133,1,3.75,1,0,0,0,1,13,0,1
9,3,23,28,1,156,1,3,0,0,0,0,0,13,0,1
2,4,20,21,6,133,NA,4,0,NA,NA,NA,1,NA,NA,0
8,7,29,12,3,156,1,1,0,0,0,0,1,12,0,0
NA,5,NA,24,5,133,2,NA,0,0,NA,0,1,13,0,0
NA,9,15,NA,NA,133,1,4.5,NA,0,0,0,0,13,0,NA
8,8,28,3,1,153,2,2,0,0,0,0,0,15,0,0
12,6,19,9,2,153,2,3.75,0,0,0,0,0,15,0,0
9,NA,15,25,1,153,6,4.5,0,0,1,0,0,15,0,1
10,4,14,17,5,153,2,4.5,0,0,1,0,1,16,0,0
8,8,28,NA,3,153,2,2.75,1,0,0,0,0,15,0,NA
10,4,14,29,1,153,NA,3.5,0,NA,NA,0,0,16,0,1
7,8,27,14,5,153,2,2,0,0,0,0,0,16,0,0
7,8,7,13,7,133,1,2.75,0,0,0,1,0,14,0,0
8,8,NA,13,7,183,2,1.75,0,0,0,0,1,12,0,0
NA,5,29,11,3,183,2,1,0,0,0,0,1,12,0,1
